PassengerId,Survived,Pclass,Sex,Age,Ssibsp,Parch,Fare,Embarked,Class,Who,Adult_male,Deck,Embark_town,Alive,Alone
1,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False
2,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
3,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True
4,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
5,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
6,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True
7,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
8,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
9,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False
10,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False
11,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
12,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
13,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
14,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False
15,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True
16,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True
17,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
18,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True
19,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False
20,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True
21,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
22,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
23,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True
24,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
25,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
26,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False
27,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
28,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
29,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
30,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
31,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
32,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
33,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
34,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
35,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False
36,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False
37,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
38,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
39,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False
40,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
41,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False
42,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False
43,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
44,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False
45,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
46,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
47,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
48,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
49,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False
50,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False
51,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
52,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True
53,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
54,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
55,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
56,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True
57,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
58,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
59,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False
60,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
61,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
62,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True
63,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False
64,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
65,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
66,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False
67,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
68,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True
69,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False
70,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False
71,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
72,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False
73,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
74,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False
75,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
76,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
77,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
78,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
79,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False
80,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True
81,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True
82,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True
83,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True
84,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True
85,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
86,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False
87,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False
88,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
89,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
90,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
91,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
92,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
93,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False
94,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False
95,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
96,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
97,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True
98,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
99,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False
100,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
101,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True
102,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
103,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
104,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True
105,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False
106,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
107,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True
108,1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True
109,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
110,1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False
111,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
112,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False
113,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
114,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False
115,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True
116,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
117,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
118,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
119,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False
120,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
121,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False
122,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
123,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False
124,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
125,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
126,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
127,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
128,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True
129,1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False
130,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True
131,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
132,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
133,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False
134,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
135,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
136,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True
137,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False
138,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False
139,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True
140,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
141,0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False
142,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True
143,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False
144,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True
145,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True
146,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False
147,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True
148,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False
149,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False
150,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
151,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True
152,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
153,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True
154,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False
155,0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True
156,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False
157,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True
158,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
159,0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True
160,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
161,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False
162,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True
163,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
164,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
165,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
166,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False
167,1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
168,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False
169,0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True
170,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True
171,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True
172,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
173,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False
174,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
175,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True
176,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False
177,0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False
178,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
179,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
180,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True
181,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False
182,0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True
183,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False
184,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
185,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False
186,0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True
187,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False
188,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True
189,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False
190,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
191,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
192,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
193,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False
194,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
195,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
196,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
197,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
198,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False
199,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
200,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True
201,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
202,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
203,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True
204,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
205,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
206,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False
207,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False
208,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True
209,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
210,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
211,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
212,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True
213,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
214,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
215,0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False
216,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
217,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True
218,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False
219,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True
220,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
221,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
222,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
223,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
224,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
225,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False
226,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True
227,1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True
228,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True
229,0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
230,0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
231,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False
232,0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
233,0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True
234,1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False
235,0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
236,0,3,female,,0,0,7.55,S,Third,woman,False,,Southampton,no,True
237,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
238,1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False
239,0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
240,0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True
241,0,3,female,,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False
242,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False
243,0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
244,0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
245,0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
246,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False
247,0,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True
248,1,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False
249,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False
250,0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
251,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
252,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False
253,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True
254,0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False
255,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False
256,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False
257,1,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True
258,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
259,1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True
260,1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False
261,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
262,1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False
263,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False
264,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True
265,0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True
266,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
267,0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False
268,1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False
269,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False
270,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True
271,0,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True
272,1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True
273,1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False
274,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False
275,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
276,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
277,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True
278,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
279,0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
280,1,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False
281,0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
282,0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
283,0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
284,1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
285,0,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True
286,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True
287,1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True
288,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
289,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True
290,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
291,1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True
292,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False
293,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True
294,0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True
295,0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
296,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
